target,comparison,n_matched,mean_difference_steps,std_difference_steps,mean_absolute_difference_steps,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p
multiplication,relevant_minus_scratch,15,-117.2,158.87425396025807,158.26666666666668,-2.85706234245515,0.012672146056180543,18.0,0.01507568359375
multiplication,relevant_minus_unrelated,15,-298.26666666666665,164.201299223443,302.4,-7.03515647069785,5.910315230648011e-06,1.0,0.0001220703125
multiplication,unrelated_minus_scratch,15,181.06666666666666,167.58344048207604,194.13333333333333,4.184591165666479,0.0009176340210103175,4.0,0.0023294396798343325
powers,relevant_minus_scratch,15,-260.53333333333336,57.3159995945618,260.53333333333336,-17.604879410105315,6.014835281715181e-11,0.0,6.103515625e-05
powers,relevant_minus_unrelated,15,-125.86666666666666,59.35350112030541,126.4,-8.213154989030103,1.0070104853557749e-06,1.0,0.000803313257091444
powers,unrelated_minus_scratch,15,-134.66666666666666,46.79997964997522,134.66666666666666,-11.144486839313007,2.402456322024278e-08,0.0,6.103515625e-05
