domain,pair,relatedness_label,n_seeds,valid_pairs,source_failures,mean_relatedness_score,mean_clone_epochs,std_clone_epochs,mean_scratch_epochs,std_scratch_epochs,clone_success_rate,scratch_success_rate,mean_speedup,std_speedup,median_speedup
nonnegative,multiplication->powers,moderate/strong,15,15,0,0.9114316314234561,236.0,71.18587339794723,480.8666666666667,50.845517665440944,1.0,1.0,2.173420082135972,0.5302472545383894,2.2684824902723735
signed,multiplication->powers,moderate/strong,15,5,10,0.45455840103585743,901.0,244.30002046663853,606.8,66.60855800871236,1.0,1.0,0.7030627954424153,0.14066587654892088,0.6363636363636364
nonnegative,multiplication->squares,strong (structural),15,15,0,0.0005702851500401618,1239.3333333333333,149.17806553945937,1494.0,18.24828759089466,1.0,0.13333333333333333,1.2252838834773647,0.17813274163160528,1.1867088607594938
signed,multiplication->squares,strong (structural),15,5,10,7.833565458150525e-17,1459.8,89.88993269549154,1500.0,0.0,0.2,0.0,1.0309468822170902,0.06919933232909277,1.0
nonnegative,addition->subtraction,weak,15,15,0,0.15780518284105244,96.66666666666667,8.616153157766826,39.2,9.344211347903348,1.0,1.0,0.4075988957996944,0.10002455124428428,0.41836734693877553
signed,addition->subtraction,weak,15,15,0,0.1477539064085927,126.93333333333334,26.665833320312093,125.26666666666667,32.77731503574356,1.0,1.0,1.0011676059684902,0.22412316179341943,0.9385964912280702
nonnegative,addition->multiplication,null/unrelated,15,15,0,0.0030059387757693256,1040.8,128.29552937317362,1185.0,149.7187840109393,1.0,1.0,1.145239792148435,0.1383156548480798,1.1046413502109704
signed,addition->multiplication,null/unrelated,15,15,0,4.6825672188805116e-07,1259.4,136.51572384580047,1467.4,76.6148064764806,0.9333333333333333,0.3333333333333333,1.1762291688282311,0.12838861642879676,1.1295180722891567
