strategy,task,mean,std,count
clone_and_adapt,addition,0.14913906742578947,0.02433968557948729,15
clone_and_adapt,multiplication,0.3791239593321383,0.2565157011989579,15
clone_and_adapt,powers,0.20574894192847085,0.07599503403954815,15
clone_and_adapt,subtraction,0.13994480961021152,0.03077381292893445,15
independent_scratch,addition,0.14913906742578947,0.02433968557948729,15
independent_scratch,multiplication,0.3791239593321383,0.2565157011989579,15
independent_scratch,powers,0.2270092531760138,0.12594018837417198,15
independent_scratch,subtraction,0.1293980755960408,0.024604821371824504,15
shared_sequential,addition,1171.6603042092938,205.0849078611229,15
shared_sequential,multiplication,446.43138044206347,119.82700380217206,15
shared_sequential,powers,0.28799092184399094,0.10192679450919032,15
shared_sequential,subtraction,1963.2360102529506,272.0855965422838,15
