task,quadrant,n,mean_abs_error,accuracy_tol_0.5,pair,seed
subtraction,"(-,-)",435,0.26036488463401125,0.8781609195402299,addition->subtraction,10
subtraction,"(+,+)",519,0.17388524279056422,0.9807321772639692,addition->subtraction,11
subtraction,"(+,-)",487,0.5365331647294138,0.6344969199178645,addition->subtraction,11
subtraction,"(-,+)",550,0.39257526370819495,0.7363636363636363,addition->subtraction,11
subtraction,"(-,-)",444,0.1875284414807944,0.9887387387387387,addition->subtraction,11
subtraction,"(+,+)",535,0.27308428014128555,0.8411214953271028,addition->subtraction,12
subtraction,"(+,-)",498,0.4118253029104166,0.8253012048192772,addition->subtraction,12
subtraction,"(-,+)",508,0.4839502991162124,0.5570866141732284,addition->subtraction,12
subtraction,"(-,-)",459,0.22089939564531008,0.9651416122004357,addition->subtraction,12
subtraction,"(+,+)",568,0.18588526188174948,0.9929577464788732,addition->subtraction,13
subtraction,"(+,-)",518,0.6249738486723541,0.7857142857142857,addition->subtraction,13
subtraction,"(-,+)",490,0.6071677153029165,0.5551020408163265,addition->subtraction,13
subtraction,"(-,-)",424,0.20507886496337216,1.0,addition->subtraction,13
subtraction,"(+,+)",553,0.2699074770199264,1.0,addition->subtraction,14
subtraction,"(+,-)",527,0.46120772227570284,0.5996204933586338,addition->subtraction,14
subtraction,"(-,+)",503,0.377655249308614,0.8946322067594433,addition->subtraction,14
subtraction,"(-,-)",417,0.15657901350014575,1.0,addition->subtraction,14
