epoch_budget,strategy,train_mse_mean,train_mse_std,train_mse_min,train_mse_max,validation_mse_mean,validation_mse_std,validation_mse_min,validation_mse_max,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,train_accuracy_mean,train_accuracy_std,train_accuracy_min,train_accuracy_max
50,clone,1.6091513207886268,0.1401111809973,1.396993468536627,1.7921134750443601,1.7688305008551723,0.19511207382966986,1.5410332142237857,2.3269703778599515,1.5610020676735226,0.14976379994979766,1.387231904185599,1.9942142248946348,0.22733333333333333,0.049057789051960614,0.14,0.315
50,scratch,8.262748088364113,0.9411789547311071,6.139921172847414,9.826806032158698,8.740535012077784,0.4080731102916585,8.190854508061147,9.691334122801356,9.113429837347928,0.6161054659254369,8.303721992986084,10.3640857039882,0.16699999999999998,0.05367893973830493,0.09,0.265
100,clone,0.5421014474048208,0.055754744576835547,0.46014054495319195,0.6418698222241572,0.5891566093512831,0.08813455642712748,0.46056220592958313,0.7941806315382326,0.5755377616705519,0.06890124735307962,0.45735906426487144,0.6988196000271958,0.609,0.056194814198973354,0.51,0.705
100,scratch,7.043003980393807,0.7215842032864223,5.561458604674507,8.255637185613237,7.662234771548132,0.1936066315123559,7.3376524981395335,8.06612179083548,7.353489375212792,0.2322647847243458,6.889740225270539,7.64838372278271,0.14233333333333334,0.05470265946351194,0.065,0.26
200,clone,0.17980514886170837,0.01530799565611995,0.16193893888171879,0.21078034715306274,0.20254908271638195,0.04243744707901945,0.15393977463087494,0.3125919376202584,0.19556193345763376,0.03450231796982457,0.15008627614852468,0.273345812956704,0.8486666666666667,0.051771015976491086,0.78,0.97
200,scratch,3.9040284551587496,0.6407336323889817,2.5989280354385276,4.852714762917748,4.349233957207233,0.7319432226766238,3.143471159961952,5.4266507435279285,4.015862941985825,0.7315209586406748,2.8819304812074504,5.243556912321922,0.23333333333333334,0.07155583900170616,0.12,0.355
400,clone,0.08333928012138972,0.006550271005459143,0.07257898160445003,0.0925261995340609,0.0904735659082945,0.012753683583905497,0.0750378116766202,0.1198026169125388,0.08817384478179159,0.009149397498459643,0.07579661301298743,0.10611544778839005,0.9293333333333333,0.04667006790326363,0.85,1.0
400,scratch,0.37656717604430956,0.10076929270813488,0.25741633003439246,0.5799248127969581,0.4315211076828093,0.13256053306064491,0.27979550905439093,0.7411057738464145,0.4062820328290309,0.11911802505704278,0.27177857996209903,0.6963833940771446,0.7260000000000001,0.07416680042791575,0.61,0.865
800,clone,0.053139920074995094,0.005326860416973158,0.041669008419999605,0.06193211436338317,0.05746538634845329,0.008681984210356646,0.04338033631959474,0.07038576455276452,0.05717588584206738,0.00711231495768179,0.04484375198468705,0.06639450719312372,0.995,0.013496031162636559,0.955,1.0
800,scratch,0.04150549013644321,0.01500258597926714,0.02143486214821981,0.06047302649332684,0.047786478519377354,0.022140159827609043,0.02134165456645029,0.09266590933312666,0.04484763999049157,0.02109455351134448,0.01994463487273102,0.08506367194414556,0.9906666666666666,0.02086236073022647,0.93,1.0
1200,clone,0.0361665710797076,0.008010820108333516,0.021270665494853142,0.04980676100029119,0.03886821698164815,0.009148311200099273,0.021825920754198935,0.05221755669155739,0.0394748214148081,0.0088646389726905,0.020599331885578418,0.05429470059620826,1.0,0.0,1.0,1.0
1200,scratch,0.023741234088164567,0.011737978177264567,0.0089417810187892,0.039690275502764334,0.027025509760174336,0.014508251661573374,0.00964421753535692,0.0519717166359439,0.025206074918888342,0.013892257328209761,0.008875830390772454,0.049631478710692,0.998,0.007745966692414836,0.97,1.0
1500,clone,0.02529565760375951,0.00939516082072633,0.007631443867227239,0.038446380758832555,0.027456586086120848,0.010684026994836667,0.007336543342817536,0.04598931063658495,0.02798834585376578,0.01058742885557893,0.006410859577532107,0.04438806141842677,1.0,0.0,1.0,1.0
1500,scratch,0.016431841528559085,0.007971220173386244,0.006716638711634799,0.02787524657796587,0.018846933590618013,0.00971565212108716,0.007641031013848333,0.034989236822518775,0.01756156923862399,0.009111540987786338,0.0070682107513604904,0.03399023414392057,1.0,0.0,1.0,1.0
