strategy,mean,std,min,max
clone,1193.0666666666666,87.72152909443993,1012.0,1297.0
scratch,1493.8,14.273852218054417,1458.0,1500.0
paired_speedup,1.2589038761555043,0.10077108391653615,1.1565150346954511,1.482213438735178
