strategy,task,mean,std,count
clone_and_adapt,addition,295.93333333333334,25.055557315313354,15
clone_and_adapt,multiplication,1174.9333333333334,157.58828213628917,15
clone_and_adapt,powers,91.86666666666666,122.1415260300623,15
clone_and_adapt,subtraction,68.13333333333334,34.11507137964239,15
independent_scratch,addition,295.93333333333334,25.055557315313354,15
independent_scratch,multiplication,1174.9333333333334,157.58828213628917,15
independent_scratch,powers,471.6,52.79853894082405,15
independent_scratch,subtraction,32.93333333333333,8.940011718326186,15
shared_sequential,addition,282.8666666666667,34.54575985283178,15
shared_sequential,multiplication,1096.7333333333333,122.41584086725909,15
shared_sequential,powers,1419.8666666666666,201.18607828385663,15
shared_sequential,subtraction,82.46666666666667,16.97841767264154,15
