seed,target,controller_action,controller_parent,relevant_parent,unrelated_parent,arm,convergence_steps,final_mse,final_acc
12,multiplication,scratch,,addition,subtraction,unrelated_clone,1245,0.20948677881326122,0.855
12,powers,clone,multiplication,multiplication,addition,scratch,533,0.11143393942773681,0.87
12,powers,clone,multiplication,multiplication,addition,relevant_clone,236,0.1545074497705092,0.88
12,powers,clone,multiplication,multiplication,addition,unrelated_clone,342,0.16529298278239332,0.87
13,multiplication,scratch,,addition,subtraction,scratch,1240,0.26720928243497766,0.86
13,multiplication,scratch,,addition,subtraction,relevant_clone,1090,0.24277538809593094,0.85
13,multiplication,scratch,,addition,subtraction,unrelated_clone,1460,0.1664331683254756,0.855
13,powers,clone,multiplication,multiplication,addition,scratch,520,0.17377340920269962,0.89
13,powers,clone,multiplication,multiplication,addition,relevant_clone,245,0.12132797217482244,0.865
13,powers,clone,multiplication,multiplication,addition,unrelated_clone,324,0.2015253865456619,0.89
14,multiplication,scratch,,addition,subtraction,scratch,968,0.3852243550512949,0.85
14,multiplication,scratch,,addition,subtraction,relevant_clone,1113,0.23819265877395382,0.86
14,multiplication,scratch,,addition,subtraction,unrelated_clone,1286,0.2304445957276622,0.86
14,powers,clone,multiplication,multiplication,addition,scratch,383,0.36962112066398867,0.85
14,powers,clone,multiplication,multiplication,addition,relevant_clone,180,0.20886666017508698,0.89
14,powers,clone,multiplication,multiplication,addition,unrelated_clone,275,0.3080073398257129,0.86
