domain,target_task,prior_history,prior_tasks,seed,prior_history_valid,strategy,source_task,compatibility_score,solve_accuracy,adaptation_steps,fixed_budget,target_attempted,acquisition_success,heldout_accuracy,heldout_mse,addition_prior_steps,addition_prior_success,multiplication_prior_steps,multiplication_prior_success
nonnegative,subtraction,addition+multiplication,addition+multiplication,8,True,clone,addition,0.2656345466819717,0.046875,90.0,1500,True,True,0.88,0.1263964609641243,280.0,True,1288.0,True
nonnegative,subtraction,addition+multiplication,addition+multiplication,9,True,clone,addition,0.20832272317103087,0.0625,85.0,1500,True,True,0.8733333333333333,0.11770624702832871,276.0,True,1169.0,True
nonnegative,subtraction,addition+multiplication,addition+multiplication,10,True,clone,addition,0.15260720004061493,0.0625,103.0,1500,True,True,0.8133333333333334,0.16654045943088874,301.0,True,1100.0,True
nonnegative,subtraction,addition+multiplication,addition+multiplication,11,True,clone,addition,0.15042081373646526,0.03125,80.0,1500,True,True,0.9066666666666666,0.12104195711930432,266.0,True,1212.0,True
nonnegative,subtraction,addition+multiplication,addition+multiplication,12,True,clone,addition,0.21844105580729936,0.03125,99.0,1500,True,True,0.85,0.14405242300137103,274.0,True,1140.0,True
nonnegative,subtraction,addition+multiplication,addition+multiplication,13,True,scratch,,0.13640120348560075,0.03125,28.0,1500,True,True,0.8333333333333334,0.1418077994186486,259.0,True,1158.0,True
nonnegative,subtraction,addition+multiplication,addition+multiplication,14,True,clone,addition,0.1840035932186237,0.09375,122.0,1500,True,True,0.7433333333333333,0.24294567798646863,291.0,True,1266.0,True
nonnegative,division,none,none,0,True,scratch,,0.0,0.0,479.0,1500,True,True,0.78,0.3160804893355383,,,,
nonnegative,division,none,none,1,True,scratch,,0.0,0.0,542.0,1500,True,True,0.8333333333333334,0.2607952277273924,,,,
nonnegative,division,none,none,2,True,scratch,,0.0,0.0,473.0,1500,True,True,0.7866666666666666,0.23241495167850265,,,,
nonnegative,division,none,none,3,True,scratch,,0.0,0.0,445.0,1500,True,True,0.77,0.38328037320854613,,,,
nonnegative,division,none,none,4,True,scratch,,0.0,0.0,624.0,1500,True,True,0.8466666666666667,0.14755695803751057,,,,
nonnegative,division,none,none,5,True,scratch,,0.0,0.0,473.0,1500,True,True,0.8233333333333334,0.3184733488925056,,,,
nonnegative,division,none,none,6,True,scratch,,0.0,0.0,513.0,1500,True,True,0.7933333333333333,0.29486857969238706,,,,
nonnegative,division,none,none,7,True,scratch,,0.0,0.0,491.0,1500,True,True,0.8566666666666667,0.1792944583651525,,,,
nonnegative,division,none,none,8,True,scratch,,0.0,0.0,555.0,1500,True,True,0.8466666666666667,0.24769821953225452,,,,
nonnegative,division,none,none,9,True,scratch,,0.0,0.0,430.0,1500,True,True,0.8033333333333333,0.2820874114223834,,,,
nonnegative,division,none,none,10,True,scratch,,0.0,0.0,457.0,1500,True,True,0.8366666666666667,0.19591532048394075,,,,
nonnegative,division,none,none,11,True,scratch,,0.0,0.0,518.0,1500,True,True,0.83,0.24664600296530537,,,,
nonnegative,division,none,none,12,True,scratch,,0.0,0.0,448.0,1500,True,True,0.7733333333333333,0.27616850997631126,,,,
nonnegative,division,none,none,13,True,scratch,,0.0,0.0,626.0,1500,True,True,0.8866666666666667,0.1274126599658885,,,,
nonnegative,division,none,none,14,True,scratch,,0.0,0.0,654.0,1500,True,True,0.84,0.14953691813769523,,,,
nonnegative,division,addition,addition,0,True,clone,addition,0.28191664315898307,0.0,575.0,1500,True,True,0.8266666666666667,0.2289324607698392,279.0,True,,
nonnegative,division,addition,addition,1,True,clone,addition,0.3078292621368057,0.046875,587.0,1500,True,True,0.81,0.24181370475729627,236.0,True,,
nonnegative,division,addition,addition,2,True,clone,addition,0.355349167836894,0.0,661.0,1500,True,True,0.7966666666666666,0.21570014354749692,358.0,True,,
nonnegative,division,addition,addition,3,True,clone,addition,0.3245185128780009,0.03125,550.0,1500,True,True,0.8533333333333334,0.17085923640312614,315.0,True,,
nonnegative,division,addition,addition,4,True,clone,addition,0.284540240466696,0.046875,661.0,1500,True,True,0.84,0.1547561710957705,274.0,True,,
nonnegative,division,addition,addition,5,True,clone,addition,0.3629389586554103,0.015625,511.0,1500,True,True,0.8533333333333334,0.3256219962755989,269.0,True,,
nonnegative,division,addition,addition,6,True,clone,addition,0.3605499138928614,0.0,560.0,1500,True,True,0.8466666666666667,0.1944015770842613,254.0,True,,
nonnegative,division,addition,addition,7,True,clone,addition,0.32512650973474666,0.015625,602.0,1500,True,True,0.84,0.24442231257631902,216.0,True,,
nonnegative,division,addition,addition,8,True,clone,addition,0.3471494336944149,0.03125,594.0,1500,True,True,0.8566666666666667,0.13973502504379287,314.0,True,,
nonnegative,division,addition,addition,9,True,clone,addition,0.33432492537341874,0.015625,805.0,1500,True,True,0.8166666666666667,0.15967532121894687,282.0,True,,
nonnegative,division,addition,addition,10,True,clone,addition,0.34523577241269393,0.046875,491.0,1500,True,True,0.79,0.4744270763750681,214.0,True,,
nonnegative,division,addition,addition,11,True,clone,addition,0.38253720467647945,0.03125,698.0,1500,True,True,0.8133333333333334,0.18399558670364907,305.0,True,,
nonnegative,division,addition,addition,12,True,clone,addition,0.2842988232802196,0.0,769.0,1500,True,True,0.81,0.2592761875746987,351.0,True,,
nonnegative,division,addition,addition,13,True,clone,addition,0.3694419360763812,0.046875,599.0,1500,True,True,0.9033333333333333,0.1109976010346535,242.0,True,,
nonnegative,division,addition,addition,14,True,clone,addition,0.3855042732282481,0.03125,580.0,1500,True,True,0.8266666666666667,0.31191438146167977,309.0,True,,
nonnegative,division,addition+multiplication,addition+multiplication,0,True,clone,addition,0.2960664321858043,0.0625,684.0,1500,True,True,0.8533333333333334,0.1627196507035806,329.0,True,1275.0,True
nonnegative,division,addition+multiplication,addition+multiplication,1,True,clone,addition,0.32766646420467466,0.015625,618.0,1500,True,True,0.79,0.23035451201312165,308.0,True,1372.0,True
nonnegative,division,addition+multiplication,addition+multiplication,2,True,clone,addition,0.36662374000050263,0.03125,567.0,1500,True,True,0.82,0.2910841285989548,315.0,True,1106.0,True
nonnegative,division,addition+multiplication,addition+multiplication,3,True,clone,addition,0.36690112197547237,0.03125,512.0,1500,True,True,0.7733333333333333,0.42098455960785286,310.0,True,1337.0,True
nonnegative,division,addition+multiplication,addition+multiplication,4,True,clone,addition,0.36351363544177095,0.015625,610.0,1500,True,True,0.7533333333333333,0.22247349136066433,247.0,True,1051.0,True
nonnegative,division,addition+multiplication,addition+multiplication,5,True,clone,addition,0.3148031665322957,0.0,748.0,1500,True,True,0.8433333333333334,0.19061463215302984,330.0,True,1165.0,True
nonnegative,division,addition+multiplication,addition+multiplication,6,True,clone,addition,0.30137283201821896,0.015625,681.0,1500,True,True,0.8866666666666667,0.16342581226177497,340.0,True,1155.0,True
nonnegative,division,addition+multiplication,addition+multiplication,7,False,prerequisite_failed,,,,,1500,False,False,,,275.0,True,1500.0,False
nonnegative,division,addition+multiplication,addition+multiplication,8,True,clone,addition,0.3581474884546055,0.0625,516.0,1500,True,True,0.7366666666666667,0.4765354893433923,277.0,True,1084.0,True
nonnegative,division,addition+multiplication,addition+multiplication,9,True,clone,addition,0.31648532677644287,0.015625,655.0,1500,True,True,0.8666666666666667,0.15926971433482554,272.0,True,1173.0,True
nonnegative,division,addition+multiplication,addition+multiplication,10,True,clone,addition,0.3530841046541824,0.015625,576.0,1500,True,True,0.82,0.22394812421882165,231.0,True,1356.0,True
nonnegative,division,addition+multiplication,addition+multiplication,11,True,clone,addition,0.3633922391910903,0.0,548.0,1500,True,True,0.8366666666666667,0.21780434707152993,306.0,True,1160.0,True
nonnegative,division,addition+multiplication,addition+multiplication,12,True,clone,addition,0.35707592121629783,0.0,707.0,1500,True,True,0.8633333333333333,0.10617933503509903,272.0,True,1252.0,True
nonnegative,division,addition+multiplication,addition+multiplication,13,True,clone,addition,0.39388525651630313,0.109375,602.0,1500,True,True,0.8233333333333334,0.14990381556320373,257.0,True,1049.0,True
nonnegative,division,addition+multiplication,addition+multiplication,14,True,clone,addition,0.3126428876931127,0.015625,681.0,1500,True,True,0.79,0.18827569721737836,270.0,True,1122.0,True
nonnegative,squares,none,none,0,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.7866666666666666,0.17660142149995312,,,,
nonnegative,squares,none,none,1,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.86,0.15639485175852286,,,,
nonnegative,squares,none,none,2,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.75,0.1734986795034493,,,,
nonnegative,squares,none,none,3,True,scratch,,0.0,0.0,1489.0,1500,True,True,0.7566666666666667,0.3066440188960891,,,,
nonnegative,squares,none,none,4,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.77,0.15617694996427758,,,,
nonnegative,squares,none,none,5,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.7666666666666667,0.17764559338707625,,,,
nonnegative,squares,none,none,6,True,scratch,,0.0,0.0,1425.0,1500,True,True,0.8166666666666667,0.19061363567952513,,,,
nonnegative,squares,none,none,7,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.76,0.15750400971918466,,,,
nonnegative,squares,none,none,8,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.8166666666666667,0.21136929429972015,,,,
nonnegative,squares,none,none,9,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.71,0.41175555945277104,,,,
nonnegative,squares,none,none,10,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.7666666666666667,0.24626405671412405,,,,
nonnegative,squares,none,none,11,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.6566666666666666,0.22257882725541833,,,,
nonnegative,squares,none,none,12,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.76,0.15684803359132235,,,,
nonnegative,squares,none,none,13,True,scratch,,0.0,0.0,1500.0,1500,True,False,0.8133333333333334,0.15964273138837312,,,,
nonnegative,squares,none,none,14,True,scratch,,0.0,0.0,1387.0,1500,True,True,0.8266666666666667,0.19623727724032472,,,,
nonnegative,squares,addition,addition,0,True,scratch,,5.642303794876853e-09,0.015625,1500.0,1500,True,False,0.7533333333333333,0.23614436014760723,312.0,True,,
nonnegative,squares,addition,addition,1,True,scratch,,5.952668501563707e-10,0.0625,1500.0,1500,True,False,0.7833333333333333,0.193565387340683,328.0,True,,
nonnegative,squares,addition,addition,2,True,scratch,,1.73025542553298e-05,0.015625,1500.0,1500,True,False,0.76,0.208111511837084,338.0,True,,
nonnegative,squares,addition,addition,3,True,scratch,,9.554008542012497e-09,0.0,1425.0,1500,True,True,0.8766666666666667,0.14426571594328516,286.0,True,,
nonnegative,squares,addition,addition,4,True,scratch,,6.790504077548931e-07,0.03125,1500.0,1500,True,False,0.8033333333333333,0.201846679220668,263.0,True,,
nonnegative,squares,addition,addition,5,True,scratch,,2.639199118579633e-09,0.0,1500.0,1500,True,False,0.7033333333333334,0.25628094246026784,261.0,True,,
nonnegative,squares,addition,addition,6,True,scratch,,1.5854802414401302e-07,0.046875,1481.0,1500,True,True,0.8233333333333334,0.1708712745708933,243.0,True,,
nonnegative,squares,addition,addition,7,True,scratch,,1.447561202167197e-07,0.015625,1500.0,1500,True,False,0.7866666666666666,0.18502480276645877,379.0,True,,
nonnegative,squares,addition,addition,8,True,scratch,,1.6051734346058608e-07,0.03125,1500.0,1500,True,False,0.7766666666666666,0.2820139191001582,291.0,True,,
nonnegative,squares,addition,addition,9,True,scratch,,4.805258631581767e-08,0.03125,1500.0,1500,True,False,0.8066666666666666,0.16594133706394695,264.0,True,,
nonnegative,squares,addition,addition,10,True,scratch,,1.736341899720948e-08,0.03125,1500.0,1500,True,False,0.75,0.20122627267359414,311.0,True,,
nonnegative,squares,addition,addition,11,True,scratch,,3.5215826444070193e-06,0.046875,1500.0,1500,True,False,0.7433333333333333,0.22582691502000765,261.0,True,,
nonnegative,squares,addition,addition,12,True,scratch,,5.6828721491095726e-08,0.0,1444.0,1500,True,True,0.8466666666666667,0.21298139082377365,264.0,True,,
nonnegative,squares,addition,addition,13,True,scratch,,1.5723364541618665e-09,0.03125,1500.0,1500,True,False,0.7133333333333334,0.26082052519431914,331.0,True,,
nonnegative,squares,addition,addition,14,True,scratch,,3.9209504962549075e-09,0.0,1500.0,1500,True,False,0.73,0.18050207593592735,333.0,True,,
nonnegative,squares,addition+multiplication,addition+multiplication,0,True,scratch,,0.0015012709886320827,0.171875,1500.0,1500,True,False,0.8333333333333334,0.15684257042518257,289.0,True,1266.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,1,True,scratch,,0.0001728763128388417,0.078125,1500.0,1500,True,False,0.85,0.12568562431343466,324.0,True,1103.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,2,True,scratch,,0.0001708529055217021,0.15625,1500.0,1500,True,False,0.79,0.21875408744794422,310.0,True,1413.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,3,True,scratch,,0.0024095293353676712,0.046875,1492.0,1500,True,True,0.78,0.14146568716665844,327.0,True,1114.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,4,True,scratch,,1.3335366892014616e-05,0.15625,1500.0,1500,True,False,0.6266666666666667,0.2905124804705819,263.0,True,1370.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,5,True,scratch,,0.00273574448535392,0.125,1500.0,1500,True,False,0.7766666666666666,0.16921834079435108,314.0,True,1171.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,6,True,scratch,,0.00011131996262411202,0.125,1500.0,1500,True,False,0.6566666666666666,0.2617339364508779,287.0,True,1169.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,7,True,scratch,,4.6485249074746816e-05,0.15625,1500.0,1500,True,False,0.75,0.20036342732364867,281.0,True,1226.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,8,True,scratch,,0.00010848737496677239,0.125,1496.0,1500,True,True,0.7966666666666666,0.15820574600131276,326.0,True,1137.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,9,True,scratch,,0.00022402017811218924,0.125,1500.0,1500,True,False,0.72,0.17556785778013326,253.0,True,1139.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,10,True,scratch,,0.00041825849261814194,0.171875,1500.0,1500,True,False,0.7766666666666666,0.20392975860581822,280.0,True,872.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,11,True,scratch,,2.3461211779349764e-07,0.109375,1500.0,1500,True,False,0.8066666666666666,0.21819748433981143,351.0,True,1394.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,12,True,scratch,,5.50969755449749e-05,0.15625,1500.0,1500,True,False,0.7566666666666667,0.22353862185635345,263.0,True,1369.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,13,True,scratch,,3.144072385638531e-05,0.09375,1500.0,1500,True,False,0.6333333333333333,0.28642481512188994,278.0,True,1033.0,True
nonnegative,squares,addition+multiplication,addition+multiplication,14,True,scratch,,0.00020181574708150887,0.1875,1500.0,1500,True,False,0.77,0.2606985647563956,267.0,True,1235.0,True
nonnegative,powers,none,none,0,True,scratch,,0.0,0.0,537.0,1500,True,True,0.86,0.09851043668641428,,,,
nonnegative,powers,none,none,1,True,scratch,,0.0,0.0,481.0,1500,True,True,0.8666666666666667,0.2590087790747783,,,,
nonnegative,powers,none,none,2,True,scratch,,0.0,0.0,419.0,1500,True,True,0.87,0.27438414468266814,,,,
nonnegative,powers,none,none,3,True,scratch,,0.0,0.0,398.0,1500,True,True,0.8166666666666667,0.4907220273308912,,,,
nonnegative,powers,none,none,4,True,scratch,,0.0,0.0,395.0,1500,True,True,0.7933333333333333,0.49134115537192097,,,,
nonnegative,powers,none,none,5,True,scratch,,0.0,0.0,558.0,1500,True,True,0.83,0.11389949609716496,,,,
nonnegative,powers,none,none,6,True,scratch,,0.0,0.0,524.0,1500,True,True,0.8866666666666667,0.1396506306368639,,,,
nonnegative,powers,none,none,7,True,scratch,,0.0,0.0,396.0,1500,True,True,0.8866666666666667,0.3819640510981394,,,,
nonnegative,powers,none,none,8,True,scratch,,0.0,0.0,510.0,1500,True,True,0.8866666666666667,0.15653686585686488,,,,
nonnegative,powers,none,none,9,True,scratch,,0.0,0.0,545.0,1500,True,True,0.84,0.16114406125390535,,,,
nonnegative,powers,none,none,10,True,scratch,,0.0,0.0,405.0,1500,True,True,0.8833333333333333,0.23186311543615593,,,,
nonnegative,powers,none,none,11,True,scratch,,0.0,0.0,404.0,1500,True,True,0.8466666666666667,0.5040831362120333,,,,
nonnegative,powers,none,none,12,True,scratch,,0.0,0.0,454.0,1500,True,True,0.86,0.1589259655973657,,,,
nonnegative,powers,none,none,13,True,scratch,,0.0,0.0,505.0,1500,True,True,0.85,0.16594227733072267,,,,
nonnegative,powers,none,none,14,True,scratch,,0.0,0.0,543.0,1500,True,True,0.88,0.10781605343305041,,,,
nonnegative,powers,addition,addition,0,True,clone,addition,0.8657852283477355,0.15625,391.0,1500,True,True,0.9333333333333333,0.13415402981694266,290.0,True,,
nonnegative,powers,addition,addition,1,True,clone,addition,0.8470560543363678,0.171875,343.0,1500,True,True,0.85,0.15970441229791318,267.0,True,,
nonnegative,powers,addition,addition,2,True,clone,addition,0.8582155595942265,0.1875,345.0,1500,True,True,0.8566666666666667,0.26132973737368986,294.0,True,,
nonnegative,powers,addition,addition,3,True,clone,addition,0.803561935429865,0.140625,322.0,1500,True,True,0.8733333333333333,0.27427869553907586,326.0,True,,
nonnegative,powers,addition,addition,4,True,clone,addition,0.8854942175459917,0.09375,345.0,1500,True,True,0.8366666666666667,0.2315575731484025,222.0,True,,
nonnegative,powers,addition,addition,5,True,clone,addition,0.8108843866680604,0.109375,367.0,1500,True,True,0.86,0.14295414187492803,281.0,True,,
nonnegative,powers,addition,addition,6,True,clone,addition,0.8174336837880313,0.078125,418.0,1500,True,True,0.9233333333333333,0.14908565947255623,255.0,True,,
nonnegative,powers,addition,addition,7,True,clone,addition,0.8051283857927967,0.203125,365.0,1500,True,True,0.86,0.1791810132066883,341.0,True,,
nonnegative,powers,addition,addition,8,True,clone,addition,0.8913903942855342,0.1875,396.0,1500,True,True,0.89,0.12128091817049821,274.0,True,,
nonnegative,powers,addition,addition,9,True,clone,addition,0.9137721680083828,0.109375,363.0,1500,True,True,0.94,0.2602244572066947,298.0,True,,
nonnegative,powers,addition,addition,10,True,clone,addition,0.8526424372891093,0.125,341.0,1500,True,True,0.87,0.15520718244495113,301.0,True,,
nonnegative,powers,addition,addition,11,True,clone,addition,0.9112584501449056,0.1875,347.0,1500,True,True,0.87,0.15117039483428646,244.0,True,,
nonnegative,powers,addition,addition,12,True,clone,addition,0.8853228677185,0.125,333.0,1500,True,True,0.89,0.1609005024671379,265.0,True,,
nonnegative,powers,addition,addition,13,True,clone,addition,0.9138213251043655,0.125,322.0,1500,True,True,0.8866666666666667,0.2902897725956794,281.0,True,,
nonnegative,powers,addition,addition,14,True,clone,addition,0.9321904099892288,0.125,330.0,1500,True,True,0.89,0.2306461395699708,291.0,True,,
nonnegative,powers,addition+multiplication,addition+multiplication,0,True,clone,multiplication,0.9188528590711321,0.390625,402.0,1500,True,True,0.8566666666666667,0.10218629021192717,291.0,True,1191.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,1,True,clone,multiplication,0.8835019779934704,0.3125,236.0,1500,True,True,0.8666666666666667,0.17098679167479008,303.0,True,1212.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,2,True,clone,multiplication,0.9188460573467659,0.109375,278.0,1500,True,True,0.8733333333333333,0.10527417670283351,322.0,True,1160.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,3,True,clone,multiplication,0.851856079454833,0.3125,153.0,1500,True,True,0.88,0.32880646291496907,327.0,True,1131.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,4,True,clone,multiplication,0.8469185388895462,0.296875,202.0,1500,True,True,0.8833333333333333,0.18404182930225113,275.0,True,1038.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,5,True,clone,multiplication,0.9236181409694493,0.296875,280.0,1500,True,True,0.87,0.12152415518361465,346.0,True,1376.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,6,True,clone,multiplication,0.8616899714585352,0.453125,326.0,1500,True,True,0.93,0.10499131854387411,321.0,True,1209.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,7,True,clone,multiplication,0.8915001123363027,0.140625,196.0,1500,True,True,0.7766666666666666,0.29736046408062405,327.0,True,954.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,8,True,clone,multiplication,0.8802563793985411,0.09375,233.0,1500,True,True,0.8933333333333333,0.12112214149985774,281.0,True,1288.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,9,True,clone,multiplication,0.8808763802059532,0.28125,233.0,1500,True,True,0.9266666666666666,0.13492815225559143,269.0,True,1144.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,10,True,clone,multiplication,0.9456998675169673,0.25,196.0,1500,True,True,0.8833333333333333,0.19517693523142296,302.0,True,1162.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,11,True,clone,multiplication,0.9096044802898048,0.390625,260.0,1500,True,True,0.9266666666666666,0.10645900685796657,306.0,True,1396.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,12,True,clone,multiplication,0.9041551847893832,0.390625,193.0,1500,True,True,0.88,0.18859313651375798,342.0,True,1223.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,13,True,clone,multiplication,0.8547254331445673,0.203125,181.0,1500,True,True,0.81,0.23223664381498377,291.0,True,1192.0,True
nonnegative,powers,addition+multiplication,addition+multiplication,14,True,clone,multiplication,0.8524088671466697,0.09375,191.0,1500,True,True,0.8666666666666667,0.1481106043154676,299.0,True,1461.0,True
signed,subtraction,none,none,0,True,scratch,,0.0,0.0,109.0,1500,True,True,0.8,0.226405457282452,,,,
signed,subtraction,none,none,1,True,scratch,,0.0,0.0,94.0,1500,True,True,0.78,0.2136345605555823,,,,
signed,subtraction,none,none,2,True,scratch,,0.0,0.0,109.0,1500,True,True,0.7533333333333333,0.24121526977180346,,,,
