seed,source_task,target_task,compatibility_score,calibration_mse,calibration_accuracy,solved_label,original_reuse,false_reuse,calibrated_score_reuse,calibrated_false_reuse
0,addition,addition,0.9980569919201839,0.11141109894212058,0.8633333333333333,True,True,False,True,False
0,addition,subtraction,0.15543898197523662,107.4138207112009,0.08,False,False,False,False,False
0,addition,multiplication,0.00026996932008780154,335.620425992265,0.04,False,False,False,False,False
0,addition,powers,0.8090287158239549,9.029438971734846,0.24333333333333335,False,False,False,False,False
0,subtraction,addition,0.13790924094034007,104.11049697698252,0.06333333333333334,False,False,False,False,False
0,subtraction,subtraction,0.9985274428658315,0.08302616159001608,0.93,True,True,False,True,False
0,subtraction,multiplication,6.464467498437605e-08,709.6714677019319,0.006666666666666667,False,False,False,False,False
0,subtraction,powers,0.6246053112874568,20.205832253884928,0.11666666666666667,False,False,False,False,False
0,multiplication,addition,0.0025607347233163012,350.05576690354627,0.023333333333333334,False,False,False,False,False
0,multiplication,subtraction,1.4822995826644036e-07,811.5820714353231,0.02,False,False,False,False,False
0,multiplication,multiplication,0.9892864864876201,0.2884911317358575,0.7633333333333333,False,True,True,False,False
0,multiplication,powers,0.8783312171019118,5.444988113650908,0.17333333333333334,False,False,False,False,False
0,powers,addition,0.1223904578939708,127.19234193035328,0.043333333333333335,False,False,False,False,False
0,powers,subtraction,0.0007115266072765287,437.1008806475798,0.013333333333333334,False,False,False,False,False
0,powers,multiplication,0.006731582624016109,214.24606317734143,0.12333333333333334,False,False,False,False,False
0,powers,powers,0.993583035115109,0.27565503654487866,0.8833333333333333,True,True,False,True,False
1,addition,addition,0.9981187970727128,0.16960486133114996,0.82,False,True,True,True,True
1,addition,subtraction,0.1328198052931946,105.31566228345172,0.06333333333333334,False,False,False,False,False
1,addition,multiplication,0.018009142235990146,367.06154647387643,0.043333333333333335,False,False,False,False,False
1,addition,powers,0.7908386065277591,8.60015659614334,0.15,False,False,False,False,False
1,subtraction,addition,0.16029493436481942,106.37850277645572,0.12,False,False,False,False,False
1,subtraction,subtraction,0.9960895580225259,0.1878468301725646,0.8233333333333334,False,True,True,True,True
1,subtraction,multiplication,8.883567051763175e-05,771.8792725915584,0.01,False,False,False,False,False
1,subtraction,powers,0.5958316985220062,20.59119862178974,0.03333333333333333,False,False,False,False,False
1,multiplication,addition,0.013346944133191865,314.73930715580786,0.043333333333333335,False,False,False,False,False
1,multiplication,subtraction,6.281435313322101e-05,816.8209208765013,0.016666666666666666,False,False,False,False,False
1,multiplication,multiplication,0.9965318897081782,0.4588274200872803,0.7933333333333333,False,True,True,True,True
1,multiplication,powers,0.8577443816495809,5.504645176558445,0.24333333333333335,False,False,False,False,False
1,powers,addition,0.06589664084420549,177.9184553305914,0.03333333333333333,False,False,False,False,False
1,powers,subtraction,5.604832287951442e-05,509.8422117189673,0.006666666666666667,False,False,False,False,False
1,powers,multiplication,0.058941953322846866,224.24178801691815,0.10333333333333333,False,False,False,False,False
