seed,strategy,source_task,target_task,epoch_budget,train_mse,validation_mse,test_mse,train_accuracy
4,clone,multiplication,powers,100,0.5115015593330995,0.5576754647456662,0.5341504034472885,0.515
4,clone,multiplication,powers,200,0.16952890181384297,0.17862195293990218,0.16909261295271388,0.87
4,clone,multiplication,powers,400,0.08626336912232871,0.08207348098869187,0.07958722714874768,0.935
4,clone,multiplication,powers,800,0.04804867628081633,0.0472191550755088,0.047365261249297186,1.0
4,clone,multiplication,powers,1200,0.0222329708611631,0.024933600779748898,0.026466642286891995,1.0
4,clone,multiplication,powers,1500,0.010622649885403205,0.012979311922551296,0.013817104388432802,1.0
4,scratch,random,powers,50,7.254515295794517,9.691334122801356,10.3640857039882,0.18
4,scratch,random,powers,100,5.640819392684173,7.87915424446974,7.537789831973576,0.115
4,scratch,random,powers,200,3.8086230230090363,5.42665074352793,5.090384878636589,0.195
4,scratch,random,powers,400,0.5799248127969571,0.7411057738464127,0.6963833940771429,0.61
4,scratch,random,powers,800,0.0392455484999802,0.04298563401524872,0.03842267905970196,1.0
4,scratch,random,powers,1200,0.016202796381779214,0.019087027138807812,0.016904603160187274,1.0
4,scratch,random,powers,1500,0.010958254085031599,0.013540516963824573,0.01271752835816058,1.0
5,clone,multiplication,powers,50,1.79211347504436,1.8301195198883586,1.6401482561162501,0.24
5,clone,multiplication,powers,100,0.6367612220895245,0.6041483160643624,0.6360552864202592,0.61
5,clone,multiplication,powers,200,0.18665253601497286,0.1826982401734036,0.19760857358902584,0.82
5,clone,multiplication,powers,400,0.07833670126374559,0.0851132198114289,0.08705962859388154,1.0
5,clone,multiplication,powers,800,0.054546430358247106,0.06328464863853253,0.06526752380505023,1.0
5,clone,multiplication,powers,1200,0.03984461545838594,0.04768857197851211,0.04810134565896971,1.0
5,clone,multiplication,powers,1500,0.029681323773202078,0.03572486971811344,0.03520244571253982,1.0
5,scratch,random,powers,50,8.199242175628502,8.679549565039308,9.162880665461532,0.09
5,scratch,random,powers,100,6.87703610620403,7.584201572577401,7.25709777358913,0.155
5,scratch,random,powers,200,4.7078832205312064,5.149418097121455,4.842137687167368,0.155
5,scratch,random,powers,400,0.5471184763409656,0.5497078937870542,0.5469603288552876,0.615
5,scratch,random,powers,800,0.023824452843300828,0.029111427990591507,0.02766087005670484,1.0
5,scratch,random,powers,1200,0.013880953102004469,0.01753273422229544,0.015518994265618773,1.0
5,scratch,random,powers,1500,0.010533439358366911,0.013209757202452462,0.01161630848627993,1.0
6,clone,multiplication,powers,50,1.758406857164028,1.776065285545567,1.5554929834772502,0.19
6,clone,multiplication,powers,100,0.5463392593600316,0.555481787301489,0.5786502261166424,0.635
6,clone,multiplication,powers,200,0.19391863162314088,0.1952719524437911,0.1981014189087121,0.805
6,clone,multiplication,powers,400,0.09221913330214929,0.08789413905411479,0.08717792410207265,0.85
6,clone,multiplication,powers,800,0.06193211436338289,0.0602590418324327,0.060462226649752586,1.0
6,clone,multiplication,powers,1200,0.03927764898788943,0.039663882146641065,0.040439728338883714,1.0
6,clone,multiplication,powers,1500,0.03013587471431058,0.03196722757098402,0.0329809717471782,1.0
6,scratch,random,powers,50,8.555826340750393,8.577842960654552,9.000689426790068,0.195
6,scratch,random,powers,100,7.319152486838611,7.464182629871569,7.132161002276732,0.21
6,scratch,random,powers,200,4.166890036467592,4.193343436554693,3.8344617380108033,0.12
6,scratch,random,powers,400,0.3303366500233671,0.3282739174659498,0.3363302972516654,0.69
6,scratch,random,powers,800,0.059042141923812214,0.057024466566857016,0.056774511573821275,1.0
6,scratch,random,powers,1200,0.0396902755027642,0.039153846719834705,0.03794549717007315,1.0
6,scratch,random,powers,1500,0.02787524657796598,0.02785144060475033,0.02659462702188648,1.0
7,clone,multiplication,powers,50,1.6383185060873915,1.748171632772887,1.545053043261347,0.285
7,clone,multiplication,powers,100,0.5540879210614638,0.5422890871290086,0.5233064443123294,0.655
7,clone,multiplication,powers,200,0.17390487175345548,0.17253933041188016,0.16511376657919752,0.87
