seed,strategy,task,final_mse,final_acc
0,shared_sequential,addition,1228.8843399284399,0.05
0,shared_sequential,subtraction,1981.0181016081121,0.03
0,shared_sequential,multiplication,462.00694596236394,0.09333333333333334
0,shared_sequential,powers,0.36017281514411315,0.7933333333333333
0,independent_scratch,addition,0.10686799186054356,0.8833333333333333
0,independent_scratch,subtraction,0.08735161667617644,0.9266666666666666
0,independent_scratch,multiplication,0.26270215805513014,0.8
0,independent_scratch,powers,0.3653679487727028,0.8466666666666667
0,clone_and_adapt,addition,0.10686799186054356,0.8833333333333333
0,clone_and_adapt,subtraction,0.12850766452401463,0.8366666666666667
0,clone_and_adapt,multiplication,0.26270215805513014,0.8
0,clone_and_adapt,powers,0.3421646834744003,0.7933333333333333
1,shared_sequential,addition,943.5129004630932,0.03
1,shared_sequential,subtraction,1694.37015384648,0.01
1,shared_sequential,multiplication,380.32466553293864,0.09
1,shared_sequential,powers,0.2716953290877425,0.7266666666666667
1,independent_scratch,addition,0.1775337196637384,0.8166666666666667
1,independent_scratch,subtraction,0.1830915287880937,0.8033333333333333
1,independent_scratch,multiplication,0.725040117557545,0.7566666666666667
1,independent_scratch,powers,0.16297577155671863,0.8733333333333333
1,clone_and_adapt,addition,0.1775337196637384,0.8166666666666667
1,clone_and_adapt,subtraction,0.1830915287880937,0.8033333333333333
1,clone_and_adapt,multiplication,0.725040117557545,0.7566666666666667
1,clone_and_adapt,powers,0.13743585811243286,0.8666666666666667
2,shared_sequential,addition,1640.7005200908766,0.02666666666666667
2,shared_sequential,subtraction,2605.0480847768736,0.013333333333333334
2,shared_sequential,multiplication,657.2267892530124,0.07
2,shared_sequential,powers,0.2753314751447302,0.7866666666666666
2,independent_scratch,addition,0.15520707547107843,0.8533333333333334
2,independent_scratch,subtraction,0.11984154826717017,0.91
2,independent_scratch,multiplication,0.25168846246573134,0.8066666666666666
2,independent_scratch,powers,0.12759771944441203,0.8466666666666667
2,clone_and_adapt,addition,0.15520707547107843,0.8533333333333334
2,clone_and_adapt,subtraction,0.11984154826717017,0.91
2,clone_and_adapt,multiplication,0.25168846246573134,0.8066666666666666
2,clone_and_adapt,powers,0.2611984699577788,0.8466666666666667
3,shared_sequential,addition,1280.7607163642954,0.02
3,shared_sequential,subtraction,2120.572925530295,0.01
3,shared_sequential,multiplication,536.0861353471508,0.06
3,shared_sequential,powers,0.22732662184066196,0.7666666666666667
3,independent_scratch,addition,0.13831826556557725,0.8766666666666667
3,independent_scratch,subtraction,0.12161959470434705,0.9066666666666666
3,independent_scratch,multiplication,0.18507893146926818,0.84
3,independent_scratch,powers,0.15448202173223366,0.9133333333333333
3,clone_and_adapt,addition,0.13831826556557725,0.8766666666666667
3,clone_and_adapt,subtraction,0.17719122556101122,0.8733333333333333
3,clone_and_adapt,multiplication,0.18507893146926818,0.84
3,clone_and_adapt,powers,0.23520032705189947,0.8266666666666667
4,shared_sequential,addition,1233.1286225013714,0.02666666666666667
4,shared_sequential,subtraction,2082.662059650374,0.01
4,shared_sequential,multiplication,422.53425123592103,0.08666666666666667
4,shared_sequential,powers,0.38949781988053916,0.6533333333333333
4,independent_scratch,addition,0.14306191420475972,0.82
4,independent_scratch,subtraction,0.17285579490289532,0.8133333333333334
4,independent_scratch,multiplication,0.3409075377210107,0.78
4,independent_scratch,powers,0.40087698729841065,0.7966666666666666
4,clone_and_adapt,addition,0.14306191420475972,0.82
4,clone_and_adapt,subtraction,0.1251689258512491,0.8866666666666667
4,clone_and_adapt,multiplication,0.3409075377210107,0.78
4,clone_and_adapt,powers,0.22323910632079952,0.8233333333333334
5,shared_sequential,addition,995.2237800853846,0.04
5,shared_sequential,subtraction,1756.9172945538555,0.01
5,shared_sequential,multiplication,376.92081956580563,0.08666666666666667
5,shared_sequential,powers,0.22986595028617596,0.7966666666666666
5,independent_scratch,addition,0.1403433083528919,0.8266666666666667
5,independent_scratch,subtraction,0.11250099357848417,0.88
5,independent_scratch,multiplication,0.19039943470870901,0.8433333333333334
5,independent_scratch,powers,0.08386409272897725,0.86
5,clone_and_adapt,addition,0.1403433083528919,0.8266666666666667
5,clone_and_adapt,subtraction,0.11250099357848417,0.88
5,clone_and_adapt,multiplication,0.19039943470870901,0.8433333333333334
5,clone_and_adapt,powers,0.12626888063139086,0.87
6,shared_sequential,addition,1437.5397885893994,0.03666666666666667
6,shared_sequential,subtraction,2291.08132405739,0.0033333333333333335
6,shared_sequential,multiplication,627.6063965564874,0.08
6,shared_sequential,powers,0.2834001421186386,0.7833333333333333
6,independent_scratch,addition,0.16393032488713327,0.8033333333333333
6,independent_scratch,subtraction,0.1270394896169862,0.8366666666666667
6,independent_scratch,multiplication,0.23730640508460585,0.8066666666666666
6,independent_scratch,powers,0.16161726179205227,0.86
6,clone_and_adapt,addition,0.16393032488713327,0.8033333333333333
6,clone_and_adapt,subtraction,0.1270394896169862,0.8366666666666667
6,clone_and_adapt,multiplication,0.23730640508460585,0.8066666666666666
6,clone_and_adapt,powers,0.17379647680489996,0.8633333333333333
7,shared_sequential,addition,1082.6700088938478,0.03666666666666667
7,shared_sequential,subtraction,1832.5957805845544,0.006666666666666667
7,shared_sequential,multiplication,458.8189029142948,0.056666666666666664
7,shared_sequential,powers,0.22303390807997459,0.7566666666666667
7,independent_scratch,addition,0.18143235911130412,0.83
7,independent_scratch,subtraction,0.15591255371588628,0.8033333333333333
7,independent_scratch,multiplication,0.4908393448688291,0.8
7,independent_scratch,powers,0.1726972849899917,0.8766666666666667
7,clone_and_adapt,addition,0.18143235911130412,0.83
7,clone_and_adapt,subtraction,0.18327480304829002,0.8433333333333334
7,clone_and_adapt,multiplication,0.4908393448688291,0.8
7,clone_and_adapt,powers,0.19452030310414545,0.8866666666666667
8,shared_sequential,addition,1083.4120416537214,0.016666666666666666
8,shared_sequential,subtraction,1843.5768042925965,0.006666666666666667
8,shared_sequential,multiplication,413.7231723822626,0.11333333333333333
8,shared_sequential,powers,0.23793970833604935,0.7466666666666667
8,independent_scratch,addition,0.1652250716163854,0.84
8,independent_scratch,subtraction,0.10762527626057238,0.85
8,independent_scratch,multiplication,0.3710690296617076,0.8166666666666667
8,independent_scratch,powers,0.16598099085036652,0.8833333333333333
8,clone_and_adapt,addition,0.1652250716163854,0.84
8,clone_and_adapt,subtraction,0.12946272207109125,0.8666666666666667
8,clone_and_adapt,multiplication,0.3710690296617076,0.8166666666666667
8,clone_and_adapt,powers,0.2133603187108363,0.8833333333333333
9,shared_sequential,addition,877.0777762183263,0.05333333333333334
9,shared_sequential,subtraction,1542.511177606459,0.023333333333333334
9,shared_sequential,multiplication,197.8658337014342,0.06333333333333334
9,shared_sequential,powers,0.5961813843520328,0.8633333333333333
9,independent_scratch,addition,0.12309770412319501,0.8833333333333333
9,independent_scratch,subtraction,0.12761658184069552,0.8366666666666667
9,independent_scratch,multiplication,0.21209759380773854,0.8766666666666667
9,independent_scratch,powers,0.5081108196700757,0.8633333333333333
9,clone_and_adapt,addition,0.12309770412319501,0.8833333333333333
9,clone_and_adapt,subtraction,0.12761658184069552,0.8366666666666667
9,clone_and_adapt,multiplication,0.21209759380773854,0.8766666666666667
9,clone_and_adapt,powers,0.35993543784795584,0.86
10,shared_sequential,addition,1124.8593372328176,0.02666666666666667
10,shared_sequential,subtraction,1914.3097723805927,0.01
10,shared_sequential,multiplication,444.17077966098935,0.056666666666666664
10,shared_sequential,powers,0.2251121084008158,0.7733333333333333
10,independent_scratch,addition,0.14958616990371926,0.8066666666666666
10,independent_scratch,subtraction,0.12849967420887895,0.89
10,independent_scratch,multiplication,0.44233572473899624,0.8333333333333334
10,independent_scratch,powers,0.16905073980328722,0.8766666666666667
10,clone_and_adapt,addition,0.14958616990371926,0.8066666666666666
10,clone_and_adapt,subtraction,0.20003363043072256,0.8266666666666667
10,clone_and_adapt,multiplication,0.44233572473899624,0.8333333333333334
10,clone_and_adapt,powers,0.09307787615975228,0.93
11,shared_sequential,addition,1411.5288790422921,0.02666666666666667
11,shared_sequential,subtraction,2270.5073285668745,0.006666666666666667
11,shared_sequential,multiplication,603.1915390222572,0.09
11,shared_sequential,powers,0.28256039317998033,0.6933333333333334
11,independent_scratch,addition,0.12442234560560426,0.85
11,independent_scratch,subtraction,0.12595688043852052,0.8766666666666667
11,independent_scratch,multiplication,0.182702829326434,0.9
11,independent_scratch,powers,0.224259903530374,0.8566666666666667
11,clone_and_adapt,addition,0.12442234560560426,0.85
11,clone_and_adapt,subtraction,0.12595688043852052,0.8766666666666667
11,clone_and_adapt,multiplication,0.182702829326434,0.9
11,clone_and_adapt,powers,0.17890146407933855,0.8266666666666667
12,shared_sequential,addition,1027.9526858625613,0.02666666666666667
12,shared_sequential,subtraction,1783.8126175764357,0.0033333333333333335
12,shared_sequential,multiplication,351.5739130581551,0.056666666666666664
12,shared_sequential,powers,0.1855892232400488,0.8366666666666667
12,independent_scratch,addition,0.192412518362467,0.7733333333333333
12,independent_scratch,subtraction,0.11471624432604614,0.8466666666666667
12,independent_scratch,multiplication,1.1260944411894744,0.85
