pair,n_seeds,mean_speedup_nonnegative,mean_speedup_signed,mean_paired_diff (nonneg-signed),std_paired_diff,paired_t_p,direction_reversed
multiplication->powers,5,2.2174264679788402,0.7030627954424153,1.514363672536425,0.4507324277717337,0.0016800918835348064,True
multiplication->squares,5,1.26582319322407,1.0309468822170902,0.2348763110069798,0.2203519517185916,0.07570413337010404,False
addition->subtraction,15,0.4075988957996944,1.0011676059684902,-0.5935687101687958,0.24328562272055618,1.8753814112053787e-07,True
addition->multiplication,15,1.145239792148435,1.1762291688282311,-0.03098937667979597,0.2180516332788121,0.5907021013590542,False
